index	label	sentence	pos	v_index	definition
a1k-fragment02 41	0	Can't fail to be entertaining.	VERB	1	To be unsuccessful.
cdb-fragment04 907	0	How much was he going to tell her?	VERB	4	To move:
ac2-fragment06 1520	0	Up until that news hit the Committee, Don had won the day with his UK Vehicle Division proposals.	VERB	9	To reach some destination or object, despite difficulty or toil .
kbc-fragment13 5871	0	Could go on to the rugby and go with them couldn't he?	VERB	1	To move:
ahb-fragment51 734	0	Finally, we went to the office and they gave us a cheque, which bounced.	VERB	2	To move:
acj-fragment01 98	1	It must be shown that the defendant intended( which, again, includes both purpose and awareness of practical certainty) to cause really serious injury to someone.	VERB	3	To display, to have somebody see .
ahf-fragment24 596	1	MP Neville Trotter is a pear-shaped Tory with pear-shaped vowels who has little appeal to the people of Meadowell, and a dwindling appeal in the middle-class suburbs where unemployment is also climbing.	VERB	31	To ascend; rise; to go up.
ac2-fragment06 1508	0	The Englishman nodded and poured himself more coffee.	VERB	4	To cause  to flow in a stream, either out of a container or into it.
ccw-fragment03 1603	0	I demanded.	VERB	1	To request forcefully.
b1g-fragment02 1243	0	What is not known is information on the locations of former sites, at which quite toxic materials may have been dumped, though recent work by Egger( 1989) in Austria has mapped a vast number of such sites.	VERB	20	To release, especially in large quantities and chaotic manner.
acj-fragment01 153	0	The armed robber might say that he had no intention of using the firearm, that he carried it with him simply to frighten the victim, and that it went off accidentally: if the jury believes that, should he be convicted of murder?	VERB	4	To pronounce.
a7s-fragment03 62	0	Hill expresses the way time has cheated them: his daughter was born while he was remanded in custody, and is now 14: She would change dramatically and I didn't feel a change in myself mentally.	VERB	11	To endeavour to depress the price of, or prices in.
kbd-fragment07 2466	0	That's getting in the	VERB	1	To obtain; to acquire.
ab9-fragment03 836	0	He was unsurprised to find her packed off firmly to take his sister home, leaving him as a person of major importance in what he instantly assumed to be a real murder.	VERB	10	To get into one's hands, possession, or control, with or without force.
fet-fragment01 20	1	He had trouble finding an appropriate language for the painter's obsession with the illuminated material world.	VERB	3	To encounter or discover by accident; to happen upon.
bpa-fragment14 2187	0	And yet he'd disappeared, without trace.	VERB	3	To vanish.
b1g-fragment02 1400	0	One advantage is the ability to model a range of alternatives by allowing particular criteria to enter or be omitted from the polygon overlay operation.	VERB	19	To leave out or exclude.
kbw-fragment04 2395	0	Why didn't you want to buy the same one again mum?	VERB	5	To obtain  in exchange for money or goods
kbj-fragment17 1624	0	She says to me I've explained to her how to do it and she says I'll give you a bit of paper you just write down the answers!	VERB	24	To form letters, words or symbols on a surface in order to communicate.
clp-fragment01 834	1	The material on which the information is printed, the typeface used, the sequence, the structure and the format generally should reflect the conditions of use,( Easterby and Zwaga, 1984).	VERB	20	To bend back  from a surface.
c8t-fragment01 17	0	It was a substantial, two-storey, L-shaped house standing to the east of the track with walls partly flint and partly rendered, enclosing at the rear a courtyard of York stone which gave an uninterrupted view over fifty yards of scrub to the grassy dunes and the sea.	VERB	20	To cause to become.
a2d-fragment05 34	1	Now, however, it seems, the wheel has turned full circle.	VERB	7	To make a non-linear physical movement.
kbd-fragment07 2711	1	They've been to his little boy's primary school, interviewed the teachers and headmistress and all the school friends and everything just trying to get a dirty story.	VERB	23	To obtain; to acquire.
kcv-fragment42 4641	0	Isobel wants	VERB	1	To wish for or desire ; to feel a need or desire for; to crave or demand.
b1g-fragment02 1266	0	As Perry and others have noted, relatively few resources are devoted to the first two aspects, the bulk going to response and restoration( rebuilding).	VERB	18	To move:
